destination,origin
Armenia,Denmark
Belarus,Vietnam
Canada,France
China,Pakistan
Denmark,Netherlands
Estonia,Georgia
France,Canada
France,Denmark
France,Greece
France,Netherlands
Germany,Thailand
Iran,Venezuela
Israel,Algeria
Israel,Angola
Israel,Australia
Israel,Azerbaijan
Israel,Botswana
Israel,Brazil
Israel,Canada
Israel,Chile
Israel,China
Israel,Colombia
Israel,Croatia
Israel,Ecuador
Israel,Ethiopia
Israel,Finland
Israel,France
Israel,Georgia
Israel,Germany
Israel,Hungary
Israel,India
Israel,Indonesia
Israel,Ivory Coast
Israel,Kazakhstan
Israel,Mexico
Israel,Nigeria
Israel,Philippines
Israel,Russia
Israel,Singapore
Israel,Slovakia
Israel,South Korea
Israel,Spain
Israel,Sri Lanka
Israel,Thailand
Israel,Uganda
Israel,Ukraine
Israel,United Kingdom
Israel,United States of America
Japan,China
Netherlands,Denmark
Russia,Belarus
Russia,Kazakhstan
South Africa,Algeria
South Africa,United Arab Emirates
Sweden,Vietnam
Sweden,Denmark
United States of America,Australia
United States of America,Burundi
United States of America,Colombia
United States of America,Denmark
United States of America,Egypt
United States of America,Estonia
United States of America,France
United States of America,Germany
United States of America,Iraq
United States of America,Italy
United States of America,Lebanon
United States of America,Netherlands
United States of America,New Zealand
United States of America,Pakistan
United States of America,Panama
United States of America,Poland
United States of America,Romania
United States of America,South Korea
United States of America,Uganda
United States of America,United Arab Emirates
United States of America,United Kingdom
